id,season,division,round,localTeam,visitorTeam,localGoals,visitorGoals,date,timestamp
80,1970-71,1,10,Zaragoza,Real Madrid,0,5,22/11/1970,28076400
81,1970-71,1,11,Espanol,Sabadell,3,1,29/11/1970,28681200
82,1970-71,1,11,Sporting de Gijon,CD Malaga,3,0,29/11/1970,28681200
83,1970-71,1,11,Granada,Atletico de Madrid,0,0,29/11/1970,28681200
84,1970-71,1,11,Las Palmas,Elche,2,2,29/11/1970,28681200
85,1970-71,1,11,Real Sociedad,Barcelona,1,0,29/11/1970,28681200
86,1970-71,1,11,Real Madrid,Celta de Vigo,4,0,29/11/1970,28681200
87,1970-71,1,11,Sevilla,Atletico de Bilbao,3,2,29/11/1970,28681200
88,1970-71,1,11,Valencia,Zaragoza,2,0,29/11/1970,28681200
89,1970-71,1,12,Atletico de Bilbao,Granada,3,0,06/12/1970,29286000
90,1970-71,1,12,Atletico de Madrid,Real Sociedad,1,0,06/12/1970,29286000
91,1970-71,1,12,Barcelona,Sporting de Gijon,2,0,06/12/1970,29286000
92,1970-71,1,12,Celta de Vigo,Valencia,1,0,06/12/1970,29286000
93,1970-71,1,12,Elche,Espanol,1,1,06/12/1970,29286000
94,1970-71,1,12,CD Malaga,Las Palmas,1,1,06/12/1970,29286000
95,1970-71,1,12,Sabadell,Real Madrid,1,1,06/12/1970,29286000
96,1970-71,1,12,Zaragoza,Sevilla,4,1,06/12/1970,29286000
97,1970-71,1,13,Espanol,Las Palmas,2,1,13/12/1970,29890800
98,1970-71,1,13,Sporting de Gijon,Atletico de Madrid,1,1,13/12/1970,29890800
99,1970-71,1,13,Granada,Zaragoza,3,0,13/12/1970,29890800
100,1970-71,1,13,CD Malaga,Barcelona,0,1,13/12/1970,29890800
101,1970-71,1,13,Real Sociedad,Atletico de Bilbao,2,1,13/12/1970,29890800
102,1970-71,1,13,Real Madrid,Elche,1,1,13/12/1970,29890800
103,1970-71,1,13,Sevilla,Celta de Vigo,2,1,13/12/1970,29890800
104,1970-71,1,13,Valencia,Sabadell,2,1,13/12/1970,29890800
105,1970-71,1,14,Atletico de Bilbao,Sporting de Gijon,3,0,20/12/1970,30495600
106,1970-71,1,14,Atletico de Madrid,CD Malaga,2,1,20/12/1970,30495600
107,1970-71,1,14,Celta de Vigo,Granada,2,0,20/12/1970,30495600
108,1970-71,1,14,Elche,Valencia,1,3,20/12/1970,30495600
109,1970-71,1,14,Espanol,Real Madrid,0,1,20/12/1970,30495600
110,1970-71,1,14,Las Palmas,Barcelona,3,2,20/12/1970,30495600
111,1970-71,1,14,Sabadell,Sevilla,2,1,20/12/1970,30495600
112,1970-71,1,14,Zaragoza,Real Sociedad,1,0,20/12/1970,30495600
113,1970-71,1,15,Barcelona,Atletico de Madrid,2,0,27/12/1970,31100400
114,1970-71,1,15,Sporting de Gijon,Zaragoza,1,1,27/12/1970,31100400
115,1970-71,1,15,Granada,Sabadell,3,1,27/12/1970,31100400
116,1970-71,1,15,CD Malaga,Atletico de Bilbao,3,3,27/12/1970,31100400
117,1970-71,1,15,Real Sociedad,Celta de Vigo,1,3,27/12/1970,31100400
118,1970-71,1,15,Real Madrid,Las Palmas,4,2,27/12/1970,31100400
119,1970-71,1,15,Sevilla,Elche,2,1,27/12/1970,31100400
120,1970-71,1,15,Valencia,Espanol,2,1,27/12/1970,31100400
121,1970-71,1,16,Atletico de Madrid,Las Palmas,2,1,03/01/1971,31705200
122,1970-71,1,16,Barcelona,Atletico de Bilbao,0,1,03/01/1971,31705200
123,1970-71,1,16,Sporting de Gijon,Celta de Vigo,4,0,03/01/1971,31705200
124,1970-71,1,16,Granada,Elche,3,1,03/01/1971,31705200
125,1970-71,1,16,CD Malaga,Zaragoza,1,0,03/01/1971,31705200
126,1970-71,1,16,Real Sociedad,Sabadell,2,0,03/01/1971,31705200
127,1970-71,1,16,Sevilla,Espanol,1,0,03/01/1971,31705200
128,1970-71,1,16,Valencia,Real Madrid,1,0,03/01/1971,31705200
129,1970-71,1,17,Atletico de Bilbao,Atletico de Madrid,1,0,10/01/1971,32310000
130,1970-71,1,17,Celta de Vigo,CD Malaga,0,0,10/01/1971,32310000
131,1970-71,1,17,Elche,Real Sociedad,1,2,10/01/1971,32310000
132,1970-71,1,17,Espanol,Granada,1,0,10/01/1971,32310000
133,1970-71,1,17,Las Palmas,Valencia,0,0,10/01/1971,32310000
134,1970-71,1,17,Real Madrid,Sevilla,4,0,10/01/1971,32310000
135,1970-71,1,17,Sabadell,Sporting de Gijon,2,1,10/01/1971,32310000
136,1970-71,1,17,Zaragoza,Barcelona,1,2,10/01/1971,32310000
137,1970-71,1,18,Atletico de Bilbao,Las Palmas,1,0,17/01/1971,32914800
138,1970-71,1,18,Atletico de Madrid,Zaragoza,3,0,17/01/1971,32914800
139,1970-71,1,18,Barcelona,Celta de Vigo,2,1,17/01/1971,32914800
140,1970-71,1,18,Sporting de Gijon,Elche,3,1,17/01/1971,32914800
141,1970-71,1,18,Granada,Real Madrid,2,0,17/01/1971,32914800
142,1970-71,1,18,CD Malaga,Sabadell,1,0,17/01/1971,32914800
143,1970-71,1,18,Real Sociedad,Espanol,1,0,17/01/1971,32914800
144,1970-71,1,18,Sevilla,Valencia,2,2,17/01/1971,32914800
145,1970-71,1,19,Celta de Vigo,Atletico de Madrid,3,2,24/01/1971,33519600
146,1970-71,1,19,Elche,CD Malaga,1,1,24/01/1971,33519600
147,1970-71,1,19,Espanol,Sporting de Gijon,2,0,24/01/1971,33519600
148,1970-71,1,19,Real Madrid,Real Sociedad,1,0,24/01/1971,33519600
149,1970-71,1,19,Sabadell,Barcelona,2,1,24/01/1971,33519600
150,1970-71,1,19,Sevilla,Las Palmas,3,1,24/01/1971,33519600
151,1970-71,1,19,Valencia,Granada,2,1,24/01/1971,33519600
152,1970-71,1,19,Zaragoza,Atletico de Bilbao,1,2,24/01/1971,33519600
153,1970-71,1,20,Atletico de Bilbao,Celta de Vigo,2,0,31/01/1971,34124400
154,1970-71,1,20,Atletico de Madrid,Sabadell,4,1,31/01/1971,34124400
155,1970-71,1,20,Barcelona,Elche,0,0,31/01/1971,34124400
156,1970-71,1,20,Sporting de Gijon,Real Madrid,0,1,31/01/1971,34124400
157,1970-71,1,20,Granada,Sevilla,0,0,31/01/1971,34124400
158,1970-71,1,20,Las Palmas,Zaragoza,4,0,31/01/1971,34124400
159,1970-71,1,20,CD Malaga,Espanol,0,0,31/01/1971,34124400
160,1970-71,1,20,Real Sociedad,Valencia,0,0,31/01/1971,34124400
161,1970-71,1,21,Celta de Vigo,Zaragoza,2,0,07/02/1971,34729200
162,1970-71,1,21,Elche,Atletico de Madrid,0,4,07/02/1971,34729200
163,1970-71,1,21,Espanol,Barcelona,0,1,07/02/1971,34729200
164,1970-71,1,21,Las Palmas,Granada,2,0,07/02/1971,34729200
165,1970-71,1,21,Real Madrid,CD Malaga,2,2,07/02/1971,34729200
166,1970-71,1,21,Sabadell,Atletico de Bilbao,1,0,07/02/1971,34729200
167,1970-71,1,21,Sevilla,Real Sociedad,1,0,07/02/1971,34729200
168,1970-71,1,21,Valencia,Sporting de Gijon,1,0,07/02/1971,34729200
169,1970-71,1,22,Atletico de Bilbao,Elche,2,0,14/02/1971,35334000
170,1970-71,1,22,Atletico de Madrid,Espanol,3,0,14/02/1971,35334000
171,1970-71,1,22,Barcelona,Real Madrid,0,1,14/02/1971,35334000
172,1970-71,1,22,Celta de Vigo,Las Palmas,1,0,14/02/1971,35334000
173,1970-71,1,22,Sporting de Gijon,Sevilla,4,0,14/02/1971,35334000
174,1970-71,1,22,CD Malaga,Valencia,0,1,14/02/1971,35334000
175,1970-71,1,22,Real Sociedad,Granada,1,1,14/02/1971,35334000
176,1970-71,1,22,Zaragoza,Sabadell,3,1,14/02/1971,35334000
177,1970-71,1,23,Elche,Zaragoza,2,1,28/02/1971,36543600
