id,division,round,visitorGoals,timestamp
232,1,29,0,40255200
233,1,30,1,40773600
234,1,30,1,40773600
235,1,30,0,40773600
236,1,30,0,40773600
237,1,30,0,40773600
238,1,30,0,40773600
239,1,30,1,40773600
240,1,30,0,40773600
241,2,1,2,21333600
242,2,1,1,21420000
243,2,1,3,21420000
244,2,1,1,21420000
245,2,1,2,21420000
246,2,1,2,21420000
247,2,1,1,21420000
248,2,1,0,21420000
249,2,1,0,21420000
250,2,1,0,21420000
251,2,2,1,21938400
252,2,2,1,22024800
253,2,2,1,22024800
254,2,2,1,22024800
255,2,2,2,22024800
256,2,2,1,22024800
257,2,2,1,22024800
258,2,2,1,22024800
259,2,2,0,22024800
260,2,2,1,22024800
261,2,3,1,22629600
262,2,3,0,22629600
263,2,3,1,22629600
264,2,3,1,22629600
265,2,3,1,22629600
266,2,3,0,22629600
267,2,3,1,22629600
268,2,3,0,22629600
269,2,3,0,22629600
270,2,3,0,22629600
271,2,4,0,23234400
272,2,4,2,23234400
273,2,4,0,23234400
274,2,4,0,23234400
275,2,4,2,23234400
276,2,4,0,23234400
277,2,4,0,23234400
278,2,4,1,23234400
279,2,4,0,23234400
280,2,4,1,23234400
281,2,5,0,23839200
282,2,5,0,23839200
283,2,5,1,23839200
284,2,5,0,23839200
285,2,5,0,23839200
286,2,5,1,23839200
287,2,5,0,23839200
288,2,5,1,23839200
289,2,5,0,23839200
290,2,5,0,23839200
291,2,6,2,24444000
292,2,6,0,24444000
293,2,6,2,24444000
294,2,6,1,24444000
295,2,6,2,24444000
296,2,6,0,24444000
297,2,6,1,24444000
298,2,6,0,24444000
299,2,6,0,24444000
300,2,6,1,24530400
301,2,7,0,25048800
302,2,7,0,25048800
303,2,7,0,25048800
304,2,7,1,25048800
305,2,7,0,25048800
306,2,7,1,25048800
307,2,7,0,25048800
308,2,7,0,25048800
309,2,7,1,25048800
310,2,7,2,25048800
311,2,8,1,25653600
312,2,8,0,25653600
313,2,8,0,25653600
314,2,8,1,25653600
315,2,8,0,25653600
316,2,8,1,25653600
317,2,8,0,25653600
318,2,8,1,25653600
319,2,8,0,25653600
320,2,8,0,25653600
321,2,9,0,26175600
322,2,9,1,26262000
323,2,9,1,26262000
324,2,9,0,26262000
325,2,9,0,26262000
326,2,9,0,26262000
327,2,9,0,26262000
328,2,9,0,26262000
329,2,9,0,26262000
330,2,9,0,26262000
331,2,10,1,26866800
332,2,10,0,26866800
333,2,10,1,26866800
334,2,10,1,26866800
335,2,10,0,26866800
336,2,10,0,26866800
337,2,10,0,26866800
338,2,10,2,26866800
339,2,10,1,26866800
340,2,10,0,26866800
341,2,11,1,27471600
342,2,11,0,27471600
343,2,11,1,27471600
344,2,11,2,27471600
345,2,11,1,27471600
346,2,11,0,27471600
347,2,11,0,27471600
348,2,11,0,27471600
349,2,11,2,27471600
350,2,11,0,27471600
351,2,12,1,28076400
352,2,12,0,28076400
353,2,12,0,28076400
354,2,12,1,28076400
355,2,12,0,28076400
356,2,12,0,28076400
357,2,12,1,28076400
358,2,12,0,28076400
359,2,12,1,28076400
360,2,12,1,28076400
361,2,13,2,28681200
362,2,13,1,28681200
363,2,13,0,28681200
364,2,13,1,28681200
365,2,13,0,28681200
366,2,13,0,28681200
367,2,13,1,28681200
368,2,13,0,28681200
369,2,13,0,28681200
370,2,13,0,28681200
371,2,14,0,29286000
372,2,14,0,29286000
373,2,14,0,29286000
